,variety
Pinot Noir,13272
Chardonnay,11753
Cabernet Sauvignon,9472
Red Blend,8946
Bordeaux-style Red Blend,6915
Riesling,5189
Sauvignon Blanc,4967
Syrah,4142
Rosé,3564
Merlot,3102
Nebbiolo,2804
Zinfandel,2714
Sangiovese,2707
Malbec,2652
Portuguese Red,2466
White Blend,2360
Sparkling Blend,2153
Tempranillo,1810
Rhône-style Red Blend,1471
Pinot Gris,1455
Champagne Blend,1396
Cabernet Franc,1353
Grüner Veltliner,1345
Portuguese White,1159
Bordeaux-style White Blend,1066
Pinot Grigio,1052
Gamay,1025
Gewürztraminer,1012
Viognier,996
Shiraz,836
Petite Sirah,770
Sangiovese Grosso,751
Barbera,721
Glera,709
Port,668
Grenache,651
"Corvina, Rondinella, Molinara",619
Chenin Blanc,591
Tempranillo Blend,588
Carmenère,575
